id,created,text
1097564573497020418,2019-02-18 18:32:40,"RT @python_tip: An interesting Python idiom: 

def accumulate(x, prev=None):
prev_elements = prev or []
prev_elements.append(x)
return prev…"
1097564499589124096,2019-02-18 18:32:23,RT @sulla_puppy: I just cracked Bite of Py 18. Find the most common word - on behalf of @pybites I Challenge You!  https://t.co/4fbNDlhgxo…
1097564464612864000,2019-02-18 18:32:14,RT @thelynchpinau: This week in #Python found the most average NBA player using the basics of NumPy. Check out my code and let me know if t…
1097497258793320450,2019-02-18 14:05:11,"RT @pybites: In #Python you can use vars() to easily access the argparse Namespace  - see https://t.co/LHundDe0Qj

🐍 Check out more @pybite…"
1097391710274052096,2019-02-18 07:05:46,I just cracked Bite of Py 172. Having fun with Python Partials - on behalf of @pybites I Challenge You!… https://t.co/X9qy1QvEhB
1097380849526497281,2019-02-18 06:22:37,I just cracked Bite of Py 8. Rotate string characters - on behalf of @pybites I Challenge You!… https://t.co/C8VQPbZOu0
1097371414376648705,2019-02-18 05:45:08,I just cracked Bite of Py 5. Parse a list of names - on behalf of @pybites I Challenge You!  https://t.co/GkkEIc4sBs #Python #CodeChallenges
1097371399386267651,2019-02-18 05:45:04,RT @brnkimani: I'll be sharpening my #vuejs skills during Vue Mastery's free weekend.  Don't miss out on these free Vue.js courses. https:/…
1097094011276414976,2019-02-17 11:22:49,"200 Days of PyBites, 100 Days of Code and our Next Project https://t.co/JmxCjB1x4e #Python #100DaysOfCode"
1097093654437609472,2019-02-17 11:21:24,"2 years of PyBites, Our Pythonic Journey and the Creation of an Awesome Community https://t.co/E71O1NMbDL #Python"
1097093580219392001,2019-02-17 11:21:07,How to Learn #Python https://t.co/3O0njv2Ysa
1097060203827265536,2019-02-17 09:08:29,PyBites Code Challenges | Bite 103. Loop through a dictionary and pluralise a word https://t.co/MszkR6mQej #Python
1097060042166206465,2019-02-17 09:07:51,RT @siddhantgoel: Python Itertools: For a faster and memory efficient code /via @min2bro https://t.co/CNNWKL9Bzf https://t.co/3AJDNPdtdb
1097060027293155328,2019-02-17 09:07:47,"RT @realpython: 🐍🎙 The ultimate list of data science podcasts! Over a dozen shows that discuss topics in big data, data analysis, statistic…"
1097060008276168705,2019-02-17 09:07:43,"RT @PurpleDiane88: Hey #python peeps! Do you follow any convention for the order of methods in class definitions? 
Dunder methods all first…"
1097059988693020672,2019-02-17 09:07:38,"RT @dmfigol: An awesome series of articles by Bernat @gjbernat about Python packaging: https://t.co/dAwRtX1gwZ
Very useful for Python devel…"
1097059863153266688,2019-02-17 09:07:08,"RT @pybites: PyBites Twitter Digest - Issue 01, 2019 is up - enjoy!
https://t.co/osWsVk8a98
#Python #News"
1097052013324632064,2019-02-17 08:35:56,An easy way to compile a Twitter digest for your site or blog - https://t.co/qAddgP3KJd - love it when I can still… https://t.co/bC18jFiijh
1097049611804516353,2019-02-17 08:26:24,RT @pycoders: Incrementally Migrating Over One Million Lines of Code From Python 2 to Python 3  https://t.co/Ypm3AZ1jYL
1097044770621480960,2019-02-17 08:07:10,@treyhunner need to start using pathlib :)
1097041926350688256,2019-02-17 07:55:51,"RT @pycoders: Trying Out the `:=` ""Walrus Operator"" in Python 3.8  https://t.co/WtALzSb0uL"
1097039952943218688,2019-02-17 07:48:01,RT @constantinkraft: Day 19: #100DaysOfCode progress: today I worked on Iteration with itertools / D1 (lectures) https://t.co/ytJvW0NXTJ #P…
1096832434451202048,2019-02-16 18:03:25,"RT @pybites: Use join in #Python to combine a list of multiple strings:

🐍 Check out more @pybites tips at https://t.co/SE7xBSuVbn 💡

(Imag…"
1096831368020066305,2019-02-16 17:59:10,"RT @TalkPython: Deeply interesting conversation with @pwang from Anaconda Inc on this episode of @talkpython, check it out! https://t.co/og…"
1096831333815468032,2019-02-16 17:59:02,RT @TalkPython: Here is a great episode with @bryanhelmig CTO/Co-founder of @Zapier on how they use Python to automate all the things and c…
1096831265922260998,2019-02-16 17:58:46,"RT @pybites: Use #Python requests!

🐍 Check out more @pybites tips at https://t.co/SE7xBSuVbn 💡

(Image built with #Carbon, by @dawn_labs)…"
1096672389482582016,2019-02-16 07:27:27,RT @1DHanson: Day 1: #100DaysOfCode progress: today I worked on Playing with Datetimes / D1 (lectures) https://t.co/VgpDNJ4Ak5 #Python @pyb…
1096662449883885568,2019-02-16 06:47:57,RT @sulla_puppy: I just cracked Bite of Py 171. Make a terminal spinner animation - on behalf of @pybites I Challenge You!  https://t.co/AU…
